Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CL-Brain,0.915,1557.079,3.695,1205,21.990
CL-Brain,1.802,1561.341,4.134,2239,15.125
CL-Brain,1.625,1565.677,4.585,2080,nan
CL-Brain,1.624,1570.161,4.878,2075,-0.010
CL-Brain,1.622,1574.291,4.228,1980,1.990
CL-Brain,0.959,1577.578,3.985,1260,9.990
CL-Brain,1.473,1580.886,3.079,1820,nan
CL-Brain,0.960,1584.396,4.479,1237,12.990
CL-Brain,0.944,1586.980,2.775,1230,-0.010
CL-Brain,1.266,1589.872,2.735,1658,-0.010
CL-Brain,0.972,1593.069,3.871,1209,-0.010
CL-Brain,0.970,1595.609,2.645,1235,nan
CL-Brain,1.329,1598.556,2.665,1705,15.490
CL-Brain,0.931,1601.380,3.156,1255,14.990
CL-Brain,0.944,1603.964,2.804,1235,nan
CL-Brain,1.033,1606.866,3.229,1265,21.240
CL-Brain,1.044,1609.504,2.665,1300,nan
CL-Brain,1.188,1612.288,2.630,1388,13.332
CL-Brain,1.050,1615.702,4.014,1224,-0.010
CL-Brain,1.628,1619.011,2.829,1885,nan
CL-Brain,0.944,1622.644,4.660,1223,5.990
CL-Brain,1.435,1625.832,2.933,1885,nan
CL-Brain,0.976,1629.128,3.903,1266,15.990
CL-Brain,1.477,1632.289,2.778,1820,nan
CL-Brain,0.983,1635.691,4.133,1300,nan
CL-Brain,1.446,1638.860,2.907,1823,-0.010
CL-Brain,1.018,1641.784,3.163,1226,4.490
CL-Brain,0.980,1644.716,3.348,1208,17.490
CL-Brain,1.145,1647.614,2.951,1552,2.490
CL-Brain,0.985,1650.456,3.155,1217,2.990
CL-Brain,0.956,1652.760,2.223,1263,15.990
CL-Brain,0.966,1655.447,2.888,1226,2.990
CL-Brain,1.065,1658.186,2.861,1365,nan
CL-Brain,1.151,1660.775,2.338,1513,11.938
CL-Brain,1.560,1664.988,4.480,2008,-0.010
CL-Brain,0.964,1668.272,3.937,1232,-0.010
CL-Brain,1.446,1671.610,3.207,1885,nan
CL-Brain,0.949,1674.862,3.926,1202,7.490
CL-Brain,1.425,1678.986,2.454,1858,11.990
CL-Brain,1.297,1682.386,3.571,1241,7.990
CL-Brain,1.678,1686.138,3.477,1820,nan
CL-Brain,1.172,1689.930,4.555,1229,9.490
CL-Brain,1.131,1693.027,3.292,1217,15.990
CL-Brain,1.423,1695.969,2.500,1691,0.490
CL-Brain,0.966,1699.082,3.633,1235,nan
CL-Brain,0.956,1702.164,3.664,1204,1.990
CL-Brain,0.973,1704.974,3.135,1235,nan
CL-Brain,1.125,1707.741,2.808,1445,28.990
CL-Brain,1.006,1710.729,3.385,1235,nan
CL-Brain,0.936,1713.023,2.255,1202,13.990
CL-Brain,1.514,1716.824,3.839,1973,12.166
CL-Brain,0.942,1719.898,3.600,1205,2.490
CL-Brain,1.420,1723.033,2.818,1829,-0.010
CL-Brain,0.941,1726.687,4.751,1252,0.990
CL-Brain,0.944,1729.206,2.661,1242,-0.010
CL-Brain,1.347,1732.312,2.944,1690,nan
CL-Brain,1.021,1735.298,3.344,1215,10.990
CL-Brain,1.001,1738.204,3.211,1245,4.990
CL-Brain,1.345,1741.157,2.624,1623,8.490
CL-Brain,0.941,1743.974,3.165,1247,-0.010
CL-Brain,0.957,1746.668,2.917,1235,-0.010
CL-Brain,1.405,1749.928,3.115,1713,2.990
CL-Brain,0.938,1753.103,3.918,1253,1.990
CL-Brain,0.966,1755.873,3.037,1311,9.990
CL-Brain,1.242,1758.837,2.987,1560,nan
CL-Brain,0.937,1761.650,3.217,1239,-0.010
CL-Brain,0.987,1764.436,3.022,1224,-0.010
CL-Brain,1.510,1767.678,2.792,1871,10.998
CL-Brain,1.032,1770.414,2.827,1207,-0.010
CL-Brain,1.423,1774.323,4.277,1819,-0.010
CL-Brain,0.984,1777.192,3.195,1218,6.240
CL-Brain,0.966,1780.060,3.320,1215,-0.010
CL-Brain,1.231,1783.187,3.179,1623,10.990
CL-Brain,0.965,1786.088,3.340,1240,-0.010
CL-Brain,0.995,1788.644,2.597,1302,0.990
CL-Brain,1.250,1792.072,3.740,1625,nan
CL-Brain,0.956,1794.731,2.862,1235,nan
CL-Brain,0.953,1797.565,3.207,1234,7.990
CL-Brain,0.984,1800.344,3.059,1222,15.990
CL-Brain,1.059,1802.975,2.614,1430,nan
CL-Brain,1.031,1805.919,3.267,1265,7.990
CL-Brain,0.983,1808.390,2.489,1202,41.000
CL-Brain,0.994,1810.938,2.620,1208,-0.010
CL-Brain,0.972,1814.190,3.963,1226,11.990
CL-Brain,1.042,1816.719,2.512,1300,nan
CL-Brain,1.326,1819.542,2.443,1445,10.577
CL-Brain,1.046,1823.153,4.412,1244,0.490
CL-Brain,1.010,1825.567,2.309,1245,3.323
CL-Brain,1.252,1828.476,2.791,1582,0.740
CL-Brain,1.028,1831.540,3.469,1241,2.990
CL-Brain,1.037,1834.350,2.992,1242,7.490
CL-Brain,1.255,1837.658,3.534,1550,1.990
CL-Brain,1.044,1840.564,3.117,1254,4.490
CL-Brain,0.952,1843.253,2.914,1245,-0.010
CL-Brain,0.961,1845.718,2.531,1228,-0.010
CL-Brain,1.165,1848.624,2.958,1498,0.990
CL-Brain,0.957,1851.752,3.509,1216,3.590
CL-Brain,0.963,1854.154,2.404,1203,6.990
CL-Brain,0.953,1856.743,2.749,1213,15.490
CL-Brain,1.191,1859.827,3.207,1506,0.990
CL-Brain,1.094,1862.978,3.473,1232,10.990
CL-Brain,0.968,1865.916,3.419,1221,3.990
CL-Brain,0.993,1868.601,2.877,1264,4.490
CL-Brain,1.361,1871.895,3.183,1796,11.332
CL-Brain,1.626,1876.180,4.489,2080,nan
CL-Brain,1.650,1880.495,4.502,2080,nan
CL-Brain,1.637,1884.690,4.269,2080,nan
CL-Brain,1.639,1889.582,5.632,2077,7.990
CL-Brain,1.538,1893.824,4.568,2027,11.990
CL-Brain,0.961,1896.745,3.297,1224,7.490
CL-Brain,1.481,1900.273,3.452,1836,-0.010
CL-Brain,0.977,1903.838,4.557,1222,7.990
CL-Brain,1.460,1907.252,3.257,1891,-0.010
CL-Brain,0.964,1910.089,3.185,1245,19.490
CL-Brain,1.046,1914.016,5.044,1216,3.657
CL-Brain,1.244,1917.088,3.047,1608,12.990
CL-Brain,1.074,1920.485,4.031,1329,7.490
CL-Brain,1.644,1924.201,3.431,2076,14.698
CL-Brain,1.063,1927.830,4.447,1206,3.240
CL-Brain,1.709,1931.294,2.860,1820,nan
CL-Brain,1.066,1934.577,3.813,1240,-0.010
CL-Brain,1.475,1938.152,3.508,1830,0.490
CL-Brain,0.951,1940.886,2.971,1225,4.990
CL-Brain,0.941,1943.999,3.787,1202,0.990
CL-Brain,1.335,1947.099,2.957,1778,-0.010
CL-Brain,1.007,1950.070,3.327,1222,-0.010
CL-Brain,1.377,1953.562,3.596,1759,-0.010
CL-Brain,0.943,1956.666,3.802,1235,nan
CL-Brain,0.957,1959.375,2.931,1250,29.990
CL-Brain,1.386,1962.591,3.040,1739,6.990
CL-Brain,0.976,1966.119,4.422,1309,0.990
CL-Brain,0.944,1968.680,2.739,1226,2.990
CL-Brain,1.243,1971.600,2.844,1625,nan
CL-Brain,0.983,1974.034,2.362,1307,17.999
CL-Brain,1.636,1978.277,4.353,2080,nan
CL-Brain,1.613,1983.000,5.412,2047,-0.010
CL-Brain,1.556,1987.466,4.983,2005,5.990
CL-Brain,1.717,1991.637,4.051,2045,14.990
CL-Brain,0.973,1994.581,3.365,1229,0.990
CL-Brain,1.567,1998.722,4.417,1869,-0.010
CL-Brain,0.964,2001.576,3.218,1211,14.990
CL-Brain,0.951,2004.271,2.954,1216,7.323
CL-Brain,1.256,2007.424,3.221,1625,nan
CL-Brain,0.967,2010.463,3.573,1231,2.323
CL-Brain,0.954,2012.766,2.204,1253,34.990
CL-Brain,0.984,2015.759,3.455,1213,21.990
CL-Brain,1.171,2019.097,3.830,1444,4.990
CL-Brain,1.041,2021.955,3.071,1223,11.990
CL-Brain,1.017,2024.796,2.846,1310,4.990
CL-Brain,1.649,2028.578,3.506,2012,13.499
CL-Brain,1.643,2033.108,4.829,2005,-0.010
CL-Brain,1.656,2037.551,4.712,2080,nan
CL-Brain,0.959,2040.908,4.114,1210,4.390
CL-Brain,1.457,2044.749,4.184,1820,nan
CL-Brain,0.990,2047.838,3.605,1219,0.657
CL-Brain,1.454,2051.623,3.950,1820,8.323
CL-Brain,0.925,2054.397,3.092,1235,nan
CL-Brain,0.985,2057.675,3.995,1262,6.990
CL-Brain,1.249,2060.567,2.770,1624,7.490
CL-Brain,0.978,2063.537,3.413,1252,4.990
CL-Brain,0.972,2066.374,3.181,1235,nan
CL-Brain,1.354,2069.218,2.467,1690,nan
CL-Brain,0.968,2072.312,3.662,1218,24.990
CL-Brain,0.965,2075.171,3.293,1263,12.390
CL-Brain,1.218,2078.576,3.791,1580,12.490
CL-Brain,1.063,2081.118,2.412,1401,14.610
CL-Brain,1.657,2085.471,4.567,2069,-0.010
CL-Brain,0.983,2088.822,4.063,1205,13.990
CL-Brain,1.426,2092.749,4.281,1868,-0.010
CL-Brain,0.860,2095.721,3.662,1246,7.490
CL-Brain,1.195,2098.716,3.047,1761,-0.010
CL-Brain,0.834,2101.119,2.674,1235,nan
CL-Brain,0.886,2104.045,3.566,1256,-0.010
CL-Brain,1.175,2106.667,2.441,1693,7.990
CL-Brain,0.849,2109.570,3.566,1235,nan
CL-Brain,0.847,2111.931,2.578,1231,21.990
CL-Brain,0.836,2114.197,2.412,1233,19.990
CL-Brain,0.931,2116.563,2.464,1406,24.990
CL-Brain,0.829,2118.749,2.276,1232,11.990
CL-Brain,0.854,2121.124,2.549,1222,14.190
CL-Brain,0.831,2123.602,2.827,1228,10.990
CL-Brain,0.843,2126.065,2.806,1286,32.990
CL-Brain,1.081,2128.507,2.237,1569,9.176
CL-Brain,1.390,2132.223,3.909,2029,-0.010
CL-Brain,0.854,2135.122,3.506,1228,7.990
CL-Brain,1.220,2138.083,3.012,1770,4.323
CL-Brain,0.855,2140.349,2.404,1234,-0.010
CL-Brain,0.860,2143.029,3.124,1220,11.490
CL-Brain,1.122,2145.776,2.780,1625,nan
CL-Brain,0.839,2147.874,2.084,1235,nan
CL-Brain,0.838,2150.562,3.195,1243,-0.010
CL-Brain,1.080,2153.155,2.529,1634,2.990
CL-Brain,0.824,2155.347,2.269,1213,2.490
CL-Brain,0.878,2157.667,2.463,1260,11.990
CL-Brain,0.969,2160.531,3.295,1246,15.990
CL-Brain,0.948,2162.946,2.437,1365,nan
CL-Brain,0.857,2165.333,2.615,1243,-0.010
CL-Brain,0.856,2167.596,2.378,1255,25.990
CL-Brain,0.846,2169.614,1.945,1218,1.990
CL-Brain,1.360,2173.072,3.534,1994,8.630
CL-Brain,1.424,2176.764,3.782,2080,nan
CL-Brain,1.428,2180.324,3.545,2080,nan
CL-Brain,1.381,2184.710,5.287,2037,-0.010
CL-Brain,0.832,2187.693,3.385,1235,nan
CL-Brain,1.273,2190.316,2.247,1835,7.490
CL-Brain,0.837,2193.420,3.926,1246,-0.010
CL-Brain,1.265,2196.370,2.894,1879,29.990
CL-Brain,0.866,2199.250,3.436,1252,10.490
CL-Brain,0.856,2201.381,2.126,1259,1.490
CL-Brain,1.018,2203.712,2.171,1465,2.990
CL-Brain,0.863,2206.379,3.092,1237,-0.010
CL-Brain,0.838,2208.848,2.815,1234,-0.010
CL-Brain,0.856,2210.949,2.066,1253,-0.010
CL-Brain,0.942,2213.153,2.060,1418,6.490
CL-Brain,0.939,2215.401,2.151,1432,14.117
CL-Brain,1.376,2219.042,3.792,2030,-0.010
CL-Brain,0.830,2221.970,3.619,1201,-0.010
CL-Brain,1.286,2224.690,2.359,1842,0.990
CL-Brain,0.861,2227.765,3.865,1247,3.323
CL-Brain,1.265,2230.584,2.550,1780,11.990
CL-Brain,0.857,2233.095,2.798,1220,3.190
CL-Brain,0.853,2235.682,3.006,1242,4.990
CL-Brain,1.025,2238.462,2.995,1551,5.990
CL-Brain,0.848,2240.760,2.445,1247,7.990
CL-Brain,0.848,2243.319,2.958,1209,15.990
CL-Brain,0.849,2245.560,2.331,1221,9.590
CL-Brain,0.854,2247.795,2.340,1228,-0.010
CL-Brain,0.848,2249.917,2.135,1221,-0.010
CL-Brain,0.862,2252.068,2.131,1259,2.657
CL-Brain,0.842,2254.295,2.304,1244,-0.010
CL-Brain,0.846,2256.689,2.656,1235,nan
CL-Brain,0.836,2259.051,2.617,1224,-0.010
CL-Brain,1.187,2261.627,2.227,1730,6.054
CL-Brain,0.846,2264.619,3.677,1234,-0.010
CL-Brain,1.175,2267.265,2.474,1707,2.790
CL-Brain,0.853,2269.700,2.667,1265,-0.010
CL-Brain,0.869,2272.155,2.691,1246,1.390
CL-Brain,1.024,2274.691,2.515,1521,0.990
CL-Brain,0.822,2277.116,2.757,1219,6.990
CL-Brain,0.856,2279.316,2.276,1240,-0.010
CL-Brain,0.841,2281.539,2.311,1207,7.490
CL-Brain,0.851,2283.655,2.127,1223,7.323
CL-Brain,0.870,2285.880,2.270,1305,-0.010
CL-Brain,0.854,2288.243,2.562,1210,14.990
CL-Brain,0.872,2291.009,3.319,1259,-0.010
CL-Brain,0.840,2293.265,2.404,1261,-0.010
CL-Brain,0.859,2295.593,2.456,1240,9.323
CL-Brain,0.858,2297.902,2.459,1260,-0.010
CL-Brain,0.828,2300.471,3.008,1210,16.990
CL-Brain,0.830,2302.904,2.768,1259,13.660
CL-Brain,0.849,2305.311,2.618,1233,9.314
CL-Brain,1.183,2308.030,2.559,1745,-0.010
CL-Brain,0.854,2310.614,2.937,1242,4.790
CL-Brain,0.860,2312.794,2.203,1232,3.490
CL-Brain,0.842,2314.996,2.269,1209,1.990
CL-Brain,0.934,2317.404,2.539,1345,6.490
CL-Brain,0.907,2319.835,2.618,1236,1.323
CL-Brain,0.844,2322.112,2.412,1209,0.490
CL-Brain,0.855,2324.391,2.405,1224,7.490
CL-Brain,0.950,2327.027,2.872,1432,-0.010
CL-Brain,0.850,2329.355,2.538,1250,9.657
CL-Brain,0.828,2331.922,2.987,1235,nan
CL-Brain,0.842,2334.048,2.070,1235,nan
CL-Brain,0.838,2336.528,2.804,1235,nan
CL-Brain,0.876,2338.802,2.394,1274,7.490
CL-Brain,0.859,2340.967,2.222,1235,nan
CL-Brain,0.845,2343.435,2.764,1236,8.390
CL-Brain,0.853,2345.623,2.215,1255,7.490
CL-Brain,0.835,2347.922,2.506,1212,-0.010
CL-Brain,1.205,2350.618,2.437,1734,9.209
CL-Brain,0.852,2353.401,3.278,1228,-0.010
CL-Brain,1.223,2356.449,3.091,1727,-0.010
CL-Brain,0.854,2358.593,2.153,1214,-0.010
CL-Brain,0.822,2360.992,2.710,1213,-0.010
CL-Brain,0.831,2363.493,2.851,1202,-0.010
CL-Brain,1.025,2365.980,2.485,1529,7.990
CL-Brain,0.842,2368.426,2.740,1261,-0.010
CL-Brain,0.866,2370.768,2.488,1235,nan
CL-Brain,0.837,2373.206,2.754,1248,5.490
CL-Brain,0.932,2375.397,2.106,1331,9.990
CL-Brain,0.842,2377.623,2.368,1218,2.990
CL-Brain,0.843,2380.049,2.720,1218,0.990
CL-Brain,0.830,2382.300,2.440,1271,11.993
CL-Brain,0.930,2385.381,3.754,1365,nan
CL-Brain,0.841,2387.377,1.902,1219,10.490
CL-Brain,0.839,2389.688,2.493,1252,14.490
CL-Brain,0.836,2391.722,1.995,1226,-0.010
CL-Brain,1.435,2394.995,3.005,2111,9.721
CL-Brain,0.875,2398.123,3.901,1247,0.615
CL-Brain,1.130,2400.630,2.279,1640,-0.010
CL-Brain,0.869,2402.963,2.439,1251,-0.010
CL-Brain,0.866,2405.444,2.714,1230,-0.010
CL-Brain,1.180,2408.398,3.025,1690,nan
CL-Brain,0.817,2410.980,3.011,1202,-0.010
CL-Brain,0.844,2413.432,2.749,1242,8.990
CL-Brain,1.124,2416.035,2.462,1575,7.323
CL-Brain,0.847,2418.364,2.515,1209,7.790
CL-Brain,0.873,2420.805,2.700,1237,6.190
CL-Brain,0.857,2423.239,2.664,1253,-0.010
CL-Brain,0.856,2425.484,2.328,1317,3.740
CL-Brain,0.865,2427.522,1.963,1235,nan
CL-Brain,0.840,2429.690,2.205,1212,10.323
CL-Brain,0.850,2432.234,2.935,1217,16.990
CL-Brain,0.854,2434.471,2.329,1235,nan
CL-Brain,0.839,2436.573,2.114,1235,nan
CL-Brain,1.182,2439.143,2.285,1685,4.705
CL-Brain,0.869,2442.105,3.517,1206,-0.010
CL-Brain,1.176,2444.914,2.827,1764,-0.010
CL-Brain,0.862,2447.225,2.442,1235,nan
CL-Brain,0.841,2450.049,3.378,1228,-0.010
CL-Brain,1.182,2452.430,1.973,1690,nan
CL-Brain,0.847,2454.694,2.359,1250,-0.010
CL-Brain,0.935,2457.671,3.566,1203,14.490
CL-Brain,0.845,2460.068,2.602,1235,15.323
CL-Brain,0.886,2462.175,2.044,1423,-0.010
CL-Brain,0.807,2464.368,2.354,1203,3.390
CL-Brain,0.817,2467.075,3.310,1242,-0.010
CL-Brain,0.811,2469.119,2.075,1209,-0.010
CL-Brain,1.031,2471.391,2.057,1560,nan
CL-Brain,0.803,2473.838,2.843,1235,nan
CL-Brain,0.833,2476.242,2.711,1225,-0.010
CL-Brain,0.799,2478.227,2.016,1201,11.990
CL-Brain,0.796,2480.461,2.193,1262,20.590
CL-Brain,1.049,2482.680,1.894,1639,8.176
CL-Brain,0.885,2485.635,3.554,1245,-0.010
CL-Brain,1.119,2488.327,2.738,1766,6.490
CL-Brain,0.809,2490.949,3.091,1235,nan
CL-Brain,1.105,2493.428,2.301,1764,-0.010
CL-Brain,0.789,2495.758,2.692,1246,14.990
CL-Brain,0.800,2498.594,3.530,1216,-0.010
CL-Brain,0.787,2500.447,1.763,1223,7.657
CL-Brain,0.963,2502.448,1.716,1495,nan
CL-Brain,0.817,2504.914,2.818,1235,nan
CL-Brain,0.782,2507.161,2.526,1215,0.990
CL-Brain,0.802,2509.366,2.398,1295,6.990
CL-Brain,0.962,2511.383,1.735,1464,2.990
CL-Brain,0.795,2513.619,2.430,1221,23.990
CL-Brain,0.794,2515.653,2.112,1235,nan
CL-Brain,0.802,2518.189,3.028,1296,22.990
CL-Brain,0.888,2520.271,2.020,1365,nan
CL-Brain,0.877,2522.290,1.868,1424,11.832
CL-Brain,1.271,2525.663,3.524,2026,0.740
CL-Brain,0.790,2528.492,3.528,1204,-0.010
CL-Brain,1.191,2530.829,1.861,1812,-0.010
CL-Brain,0.800,2533.308,2.846,1234,-0.010
CL-Brain,1.230,2536.059,2.562,1825,-0.010
CL-Brain,0.797,2538.363,2.585,1212,4.990
CL-Brain,0.795,2540.793,2.807,1205,1.490
CL-Brain,1.128,2543.219,2.146,1719,2.657
CL-Brain,0.797,2545.484,2.516,1213,5.390
CL-Brain,0.811,2548.142,3.192,1259,19.990
CL-Brain,0.815,2550.218,2.160,1245,0.240
CL-Brain,0.901,2552.243,1.871,1431,11.990
CL-Brain,0.812,2554.512,2.491,1222,-0.010
CL-Brain,0.785,2556.628,2.285,1201,8.990
CL-Brain,0.801,2558.810,2.361,1230,1.490
CL-Brain,0.790,2561.004,2.430,1205,-0.010
CL-Brain,0.823,2562.888,1.750,1292,4.990
CL-Brain,0.868,2565.043,2.165,1341,8.104
CL-Brain,0.796,2567.254,2.411,1201,0.240
CL-Brain,1.177,2570.296,3.191,1819,7.990
CL-Brain,0.771,2572.641,2.696,1226,5.190
CL-Brain,0.779,2574.733,2.235,1203,-0.010
CL-Brain,1.057,2577.507,2.948,1646,2.490
CL-Brain,0.769,2579.550,2.140,1211,-0.010
CL-Brain,0.793,2581.629,2.152,1250,3.490
CL-Brain,0.809,2584.114,2.911,1255,-0.010
CL-Brain,0.943,2586.288,2.089,1459,1.990
CL-Brain,0.813,2588.456,2.305,1236,9.990
CL-Brain,0.776,2590.861,2.831,1227,5.490
CL-Brain,0.780,2592.813,1.946,1263,20.990
CL-Brain,0.803,2595.155,2.648,1236,4.790
CL-Brain,0.778,2597.413,2.584,1235,nan
CL-Brain,0.780,2599.566,2.329,1261,14.490
CL-Brain,0.765,2601.609,2.139,1260,6.740
CL-Brain,0.797,2603.897,2.560,1259,-0.010
CL-Brain,1.175,2606.402,2.175,1805,8.419
CL-Brain,0.788,2609.099,3.292,1202,-0.010
CL-Brain,1.169,2611.729,2.468,1806,-0.010
CL-Brain,0.796,2614.273,3.018,1236,-0.010
CL-Brain,0.785,2616.354,2.209,1244,2.276
CL-Brain,0.892,2618.946,2.698,1427,4.323
CL-Brain,0.803,2621.086,2.276,1232,-0.010
CL-Brain,0.782,2623.135,2.146,1209,1.323
CL-Brain,0.807,2625.429,2.545,1254,-0.010
CL-Brain,0.946,2627.790,2.383,1559,-0.010
CL-Brain,0.808,2630.019,2.434,1260,5.990
CL-Brain,0.784,2632.201,2.369,1213,-0.010
CL-Brain,0.791,2634.205,2.024,1217,-0.010
CL-Brain,0.942,2636.432,2.159,1454,-0.010
CL-Brain,0.792,2638.520,2.187,1220,-0.010
CL-Brain,0.788,2641.006,2.995,1235,nan
CL-Brain,0.795,2643.289,2.553,1235,20.990
CL-Brain,0.885,2645.435,2.109,1373,45.990
CL-Brain,1.017,2647.709,2.097,1586,11.941
CL-Brain,1.204,2651.087,3.689,1918,2.740
CL-Brain,0.809,2653.330,2.415,1251,0.740
CL-Brain,1.116,2656.307,3.183,1785,2.990
CL-Brain,0.814,2658.495,2.309,1210,4.990
CL-Brain,0.798,2660.811,2.642,1231,1.990
CL-Brain,1.024,2663.473,2.762,1576,-0.010
CL-Brain,0.782,2665.469,2.027,1262,6.990
CL-Brain,0.784,2667.581,2.251,1262,9.990
CL-Brain,0.805,2669.657,2.120,1256,0.990
CL-Brain,0.798,2672.103,2.865,1244,19.490
CL-Brain,0.788,2674.446,2.750,1204,3.990
CL-Brain,0.794,2676.476,2.088,1236,7.490
CL-Brain,0.794,2678.427,1.956,1203,9.990
CL-Brain,0.891,2680.514,1.984,1223,1.323
CL-Brain,0.774,2682.814,2.596,1261,-0.010
CL-Brain,0.802,2685.103,2.597,1265,6.490
CL-Brain,0.942,2687.219,1.937,1549,7.855
CL-Brain,1.276,2690.688,3.738,2025,0.323
CL-Brain,0.802,2693.506,3.479,1238,4.490
CL-Brain,1.220,2696.319,2.752,1885,nan
CL-Brain,0.789,2699.132,3.476,1206,4.990
CL-Brain,1.313,2701.942,2.568,1882,0.990
CL-Brain,0.789,2704.690,3.387,1214,24.990
CL-Brain,0.796,2706.750,2.162,1211,26.990
CL-Brain,1.088,2708.982,1.878,1682,14.990
CL-Brain,0.799,2711.603,3.104,1260,2.990
CL-Brain,0.816,2713.674,2.111,1235,nan
CL-Brain,1.034,2716.101,2.393,1625,nan
CL-Brain,0.797,2718.682,3.049,1235,nan
CL-Brain,0.774,2720.743,2.166,1235,nan
CL-Brain,0.781,2722.870,2.306,1205,19.990
CL-Brain,0.933,2724.849,1.698,1427,11.323
CL-Brain,0.881,2727.505,3.052,1235,nan
CL-Brain,0.934,2730.005,2.651,1236,8.893
CL-Brain,1.274,2732.961,2.814,1950,-0.010
CL-Brain,0.786,2735.838,3.623,1220,-0.010
CL-Brain,1.193,2738.477,2.479,1827,-0.010
CL-Brain,0.767,2740.954,2.954,1207,1.323
CL-Brain,0.794,2743.282,2.624,1222,18.990
CL-Brain,1.160,2745.699,2.126,1680,-0.010
CL-Brain,0.783,2748.225,2.988,1240,6.990
CL-Brain,0.798,2750.399,2.331,1233,9.323
CL-Brain,1.041,2752.771,2.216,1652,0.990
CL-Brain,0.819,2755.235,2.797,1224,-0.010
CL-Brain,0.781,2757.612,2.434,1283,-0.010
CL-Brain,1.086,2760.171,2.499,1606,-0.010
CL-Brain,0.773,2762.712,3.060,1235,nan
CL-Brain,0.794,2764.777,2.120,1230,2.990
CL-Brain,0.798,2766.667,1.818,1221,-0.010
CL-Brain,0.949,2769.067,2.488,1500,5.990
CL-Brain,0.863,2771.175,2.058,1382,16.750
CL-Brain,1.197,2774.630,3.852,1901,-0.010
CL-Brain,0.786,2776.873,2.455,1224,6.990
CL-Brain,0.780,2779.555,3.318,1228,-0.010
CL-Brain,1.023,2781.716,1.909,1625,nan
CL-Brain,0.809,2783.815,2.158,1244,-0.010
CL-Brain,0.783,2786.104,2.586,1240,-0.010
CL-Brain,1.020,2788.701,2.654,1666,-0.010
CL-Brain,0.768,2790.922,2.488,1205,-0.010
CL-Brain,0.797,2793.168,2.458,1247,-0.010
CL-Brain,0.782,2795.372,2.403,1256,2.490
CL-Brain,0.971,2797.470,1.875,1528,16.990
CL-Brain,0.799,2799.865,2.758,1235,nan
CL-Brain,0.782,2802.202,2.645,1300,nan
CL-Brain,0.800,2804.223,2.063,1213,13.490
CL-Brain,0.858,2806.244,1.972,1324,0.490
CL-Brain,0.782,2808.608,2.742,1235,nan
CL-Brain,0.869,2810.663,1.981,1256,28.990
CL-Brain,1.274,2813.705,2.950,1990,5.946
CL-Brain,0.807,2816.288,3.023,1257,-0.010
CL-Brain,1.117,2818.670,2.081,1785,9.990
CL-Brain,0.797,2821.181,2.959,1201,0.990
CL-Brain,0.793,2823.603,2.824,1226,-0.010
CL-Brain,1.094,2826.021,2.212,1690,nan
CL-Brain,0.807,2828.488,2.837,1252,-0.010
CL-Brain,0.782,2830.670,2.379,1227,3.990
CL-Brain,0.948,2833.000,2.321,1499,5.990
CL-Brain,0.786,2834.948,1.960,1201,-0.010
CL-Brain,0.870,2837.180,2.301,1326,9.990
CL-Brain,0.788,2839.735,3.099,1221,6.490
CL-Brain,0.936,2842.148,2.524,1451,2.657
CL-Brain,0.783,2844.235,2.214,1208,10.990
CL-Brain,0.856,2846.299,1.996,1330,5.990
CL-Brain,0.776,2848.589,2.586,1202,13.990
CL-Brain,0.793,2850.749,2.309,1215,-0.010
CL-Brain,0.778,2852.615,1.828,1228,28.990
CL-Brain,0.937,2854.673,1.832,1506,8.683
CL-Brain,0.766,2857.223,3.038,1240,-0.010
CL-Brain,1.201,2859.621,1.963,1815,-0.010
CL-Brain,0.808,2862.576,3.773,1214,-0.010
CL-Brain,0.788,2864.640,2.163,1201,13.490
CL-Brain,1.031,2867.094,2.417,1675,-0.010
CL-Brain,0.802,2869.559,2.847,1207,-0.010
CL-Brain,0.801,2871.553,2.017,1214,6.490
CL-Brain,0.796,2873.493,1.902,1264,7.490
CL-Brain,0.820,2875.584,2.115,1309,2.657
CL-Brain,0.777,2877.686,2.236,1248,-0.010
CL-Brain,0.785,2880.141,2.886,1259,-0.010
CL-Brain,0.776,2882.420,2.608,1239,9.990
CL-Brain,0.882,2884.557,2.102,1365,nan
CL-Brain,0.799,2886.547,1.998,1247,14.990
CL-Brain,0.783,2888.710,2.367,1212,8.490
CL-Brain,0.792,2891.340,3.268,1218,-0.010
CL-Brain,0.777,2894.149,3.383,1247,17.990
CL-Brain,1.181,2896.642,2.151,1817,13.998
CL-Brain,1.188,2900.082,3.799,1865,-0.010
CL-Brain,0.784,2902.340,2.546,1253,-0.010
CL-Brain,1.174,2905.348,3.089,1820,nan
CL-Brain,0.791,2907.318,1.977,1235,nan
CL-Brain,0.789,2909.801,2.888,1201,-0.010
CL-Brain,1.132,2912.530,2.703,1775,1.240
CL-Brain,0.794,2914.650,2.222,1207,4.657
CL-Brain,0.806,2916.957,2.534,1259,7.323
CL-Brain,1.023,2919.247,2.085,1622,3.323
CL-Brain,0.787,2921.430,2.382,1235,nan
CL-Brain,0.780,2923.807,2.718,1202,-0.010
CL-Brain,0.799,2925.727,1.869,1210,7.990
CL-Brain,1.033,2928.015,2.076,1625,nan
CL-Brain,0.805,2930.758,3.342,1290,9.990
